id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date
1,Strark,ios web,Paid,1/2/16,NA,NA,,,NA,NA
2,Strark,windows,Paid,1/21/16,NA,NA,,,NA,NA
3,Wrouver,windows,Organic,1/11/16,1/11/16,NA,,,NA,NA
4,Berton,android web,Referral,1/29/16,2/3/16,2/3/16,Toyota,Corolla,2016,2/3/16
5,Strark,android web,Referral,1/10/16,1/25/16,1/26/16,Hyundai,Sonata,2016,NA
6,Strark,android web,Referral,1/18/16,1/18/16,1/22/16,Cadillac,DTS,2006,NA
7,Strark,ios web,Paid,1/14/16,1/16/16,1/21/16,Toyota,Prius V,2014,1/23/16
8,Strark,ios web,Referral,1/26/16,2/5/16,NA,,,NA,NA
9,Strark,,Referral,1/5/16,NA,NA,,,NA,NA
10,Berton,ios web,Paid,1/25/16,NA,NA,,,NA,NA
11,Strark,ios web,Referral,1/18/16,2/9/16,2/24/16,Kia,Optima,2015,NA
12,Berton,mac,Paid,1/4/16,NA,NA,,,NA,NA
13,Strark,android web,Referral,1/12/16,1/12/16,1/12/16,Kia,Optima,2015,1/28/16
14,Strark,ios web,Paid,1/13/16,1/20/16,NA,,,NA,NA
15,Strark,windows,Paid,1/2/16,1/7/16,NA,,,NA,NA
16,Strark,windows,Referral,1/15/16,1/17/16,1/17/16,Toyota,Prius V,2015,1/16/16
17,Wrouver,ios web,Paid,1/24/16,NA,NA,,,NA,NA
18,Strark,android web,Paid,1/21/16,1/25/16,NA,,,NA,NA
19,Berton,ios web,Organic,1/16/16,1/17/16,NA,,,NA,NA
20,Strark,ios web,Organic,1/7/16,NA,NA,,,NA,NA
21,Berton,ios web,Paid,1/6/16,1/15/16,2/6/16,Dodge,Durango,2015,NA
22,Berton,ios web,Organic,1/8/16,NA,NA,,,NA,NA
23,Wrouver,ios web,Paid,1/14/16,1/26/16,NA,,,NA,NA
24,Berton,other,Paid,1/29/16,NA,NA,,,NA,NA
25,Berton,mac,Organic,1/14/16,2/26/16,NA,,,NA,NA
26,Strark,windows,Paid,1/14/16,1/27/16,NA,,,NA,NA
27,Strark,android web,Referral,1/2/16,1/3/16,1/28/16,Mercedes-Benz,C-Class,2016,NA
28,Strark,,Organic,1/28/16,2/12/16,2/19/16,Hyundai,Sonata,2016,NA
29,Strark,android web,Organic,1/21/16,2/8/16,2/22/16,Infiniti,G Sedan,2010,NA
30,Strark,android web,Referral,1/4/16,1/20/16,NA,,,NA,NA
31,Berton,ios web,Paid,1/2/16,NA,NA,,,NA,NA
32,Strark,android web,Organic,1/13/16,2/9/16,NA,,,NA,NA
33,Berton,android web,Referral,1/6/16,1/12/16,1/25/16,Honda,Civic,2015,NA
34,Berton,android web,Organic,1/20/16,1/21/16,NA,,,NA,NA
35,Berton,ios web,Paid,1/26/16,NA,NA,,,NA,NA
36,Strark,other,Paid,1/20/16,2/2/16,NA,,,NA,NA
37,Strark,mac,Organic,1/18/16,1/31/16,NA,,,NA,NA
38,Strark,mac,Referral,1/9/16,NA,NA,,,NA,NA
39,Strark,windows,Organic,1/11/16,1/22/16,NA,,,NA,NA
40,Strark,android web,Organic,1/18/16,2/10/16,NA,,,NA,NA
41,Berton,ios web,Paid,1/17/16,1/17/16,NA,,,NA,NA
42,Berton,ios web,Paid,1/16/16,NA,NA,,,NA,NA
43,Strark,ios web,Referral,1/7/16,1/24/16,NA,,,NA,NA
44,Berton,android web,Referral,1/29/16,1/30/16,2/1/16,Toyota,Corolla,2015,2/4/16
45,Strark,mac,Paid,1/14/16,1/23/16,NA,,,NA,NA
46,Strark,windows,Referral,1/10/16,1/12/16,1/15/16,Honda,Civic,2015,1/22/16
47,Strark,ios web,Referral,1/16/16,2/15/16,NA,,,NA,NA
48,Strark,android web,Paid,1/1/16,NA,NA,,,NA,NA
49,Strark,mac,Organic,1/4/16,1/7/16,NA,,,NA,NA
50,Strark,ios web,Organic,1/26/16,2/4/16,2/11/16,Toyota,Prius V,2012,NA
51,Berton,android web,Paid,1/22/16,1/23/16,NA,,,NA,NA
52,Berton,other,Organic,1/6/16,1/18/16,NA,,,NA,NA
53,Wrouver,ios web,Paid,1/21/16,1/29/16,1/30/16,Fiat,500X,2016,NA
54,Berton,windows,Organic,1/7/16,NA,NA,,,NA,NA
55,Berton,mac,Paid,1/1/16,1/17/16,NA,,,NA,NA
56,Wrouver,ios web,Organic,1/10/16,1/19/16,NA,,,NA,NA
57,Strark,ios web,Paid,1/28/16,1/30/16,2/6/16,Toyota,Prius V,2012,2/5/16
58,Strark,android web,Referral,1/24/16,2/10/16,NA,,,NA,NA
59,Berton,ios web,Organic,1/4/16,NA,NA,,,NA,NA
60,Berton,,Referral,1/4/16,1/4/16,NA,,,NA,NA
61,Strark,ios web,Organic,1/21/16,1/27/16,NA,,,NA,NA
62,Strark,ios web,Organic,1/27/16,1/27/16,NA,,,NA,NA
63,Berton,android web,Paid,1/24/16,NA,NA,,,NA,NA
64,Strark,,Organic,1/10/16,NA,NA,,,NA,NA
65,Berton,android web,Organic,1/21/16,NA,NA,,,NA,NA
66,Strark,other,Paid,1/13/16,2/19/16,NA,,,NA,NA
67,Strark,other,Organic,1/27/16,2/22/16,NA,,,NA,NA
68,Berton,ios web,Organic,1/25/16,NA,NA,,,NA,NA
69,Strark,ios web,Paid,1/22/16,2/8/16,2/18/16,Cadillac,Escalade,2011,NA
70,Strark,ios web,Organic,1/5/16,1/11/16,NA,,,NA,NA
71,Berton,windows,Paid,1/7/16,1/19/16,NA,,,NA,NA
72,Strark,ios web,Paid,1/18/16,1/19/16,NA,,,NA,NA
73,Strark,android web,Organic,1/21/16,NA,NA,,,NA,NA
74,Strark,android web,Referral,1/27/16,NA,NA,,,NA,NA
75,Wrouver,ios web,Referral,1/5/16,NA,2/3/16,Acura,RDX,2008,NA
76,Strark,android web,Organic,1/26/16,1/29/16,NA,,,NA,NA
77,Strark,,Referral,1/29/16,2/8/16,NA,,,NA,NA
78,Berton,ios web,Organic,1/16/16,1/19/16,NA,,,NA,NA
79,Strark,windows,Referral,1/20/16,1/24/16,2/17/16,Lexus,ES,2010,NA
80,Berton,android web,Organic,1/14/16,2/6/16,NA,,,NA,NA
81,Berton,ios web,Organic,1/23/16,2/5/16,NA,,,NA,NA
82,Strark,ios web,Referral,1/26/16,1/26/16,1/26/16,Toyota,Prius,2015,2/7/16
83,Berton,ios web,Organic,1/15/16,1/29/16,NA,,,NA,NA
84,Strark,windows,Paid,1/8/16,1/30/16,NA,,,NA,NA
85,Strark,mac,Organic,1/7/16,1/14/16,1/15/16,Honda,CR-V,2007,1/15/16
86,Berton,android web,Referral,1/25/16,1/28/16,NA,,,NA,NA
87,Strark,mac,Organic,1/22/16,1/24/16,NA,,,NA,NA
88,Berton,mac,Referral,1/13/16,1/26/16,NA,,,NA,NA
89,Strark,android web,Organic,1/4/16,1/23/16,NA,,,NA,NA
90,Strark,android web,Paid,1/18/16,NA,NA,,,NA,NA
91,Strark,,Referral,1/24/16,2/6/16,NA,,,NA,NA
92,Strark,ios web,Organic,1/14/16,1/14/16,1/14/16,Lexus,CT,2013,1/17/16
93,Berton,android web,Paid,1/20/16,1/20/16,NA,,,NA,NA
94,Berton,ios web,Referral,1/4/16,1/7/16,1/10/16,GMC,Terrain,2015,1/10/16
95,Berton,ios web,Paid,1/5/16,2/4/16,2/19/16,Pontiac,G6,2008,NA
96,Strark,other,Paid,1/17/16,NA,NA,,,NA,NA
97,Wrouver,mac,Organic,1/15/16,1/25/16,1/26/16,Honda,Civic Hybrid,2008,1/30/16
98,Strark,ios web,Paid,1/16/16,1/18/16,NA,,,NA,NA
99,Strark,android web,Organic,1/18/16,1/21/16,NA,,,NA,NA
100,Wrouver,other,Paid,1/28/16,2/1/16,NA,,,NA,NA
101,Berton,mac,Paid,1/11/16,2/11/16,NA,,,NA,NA
102,Berton,android web,Paid,1/24/16,NA,NA,,,NA,NA
103,Strark,,Organic,1/27/16,NA,NA,,,NA,NA
104,Strark,mac,Paid,1/19/16,NA,NA,,,NA,NA
105,Berton,,Organic,1/16/16,2/3/16,NA,,,NA,2/3/16
106,Strark,android web,Referral,1/25/16,1/31/16,NA,,,NA,NA
107,Strark,android web,Paid,1/18/16,1/18/16,NA,,,NA,NA
108,Strark,mac,Paid,1/28/16,NA,NA,Honda,Accord,2016,NA
109,Strark,android web,Referral,1/14/16,1/18/16,NA,,,NA,NA
110,Berton,other,Paid,1/10/16,1/10/16,1/12/16,Nissan,Versa,2011,1/13/16
111,Berton,,Organic,1/25/16,NA,NA,,,NA,NA
